		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	164	0.69757	-0.01533	0.00000
1	165	0.71188	-0.01463	0.00000
1	166	0.72598	-0.01393	0.00000
1	167	0.73986	-0.01324	0.00000
1	168	0.75351	-0.01257	0.00000
1	169	0.76692	-0.01190	0.00000
1	170	0.78006	-0.01124	0.00000
1	171	0.79293	-0.01060	0.00000
1	172	0.80551	-0.00997	0.00000
1	173	0.81780	-0.00936	0.00000
1	174	0.82977	-0.00876	0.00000
1	175	0.84142	-0.00818	0.00000
1	176	0.85274	-0.00761	0.00000
1	177	0.86371	-0.00705	0.00000
1	178	0.87432	-0.00652	0.00000
1	179	0.88456	-0.00600	0.00000
1	180	0.89442	-0.00550	0.00000
1	181	0.90390	-0.00502	0.00000
1	182	0.91298	-0.00455	0.00000
1	183	0.92164	-0.00411	0.00000
1	184	0.92990	-0.00368	0.00000
1	185	0.93772	-0.00328	0.00000
1	186	0.94512	-0.00290	0.00000
1	187	0.95207	-0.00253	0.00000
1	188	0.95858	-0.00220	0.00000
1	189	0.96463	-0.00188	0.00000
1	190	0.97022	-0.00158	0.00000
1	191	0.97534	-0.00131	0.00000
1	192	0.97999	-0.00107	0.00000
1	193	0.98417	-0.00085	0.00000
1	194	0.98786	-0.00065	0.00000
1	195	0.99107	-0.00048	0.00000
1	196	0.99380	-0.00033	0.00000
1	197	0.99603	-0.00021	0.00000
1	198	0.99776	-0.00012	0.00000
1	199	0.99901	-0.00005	0.00000
1	200	0.99975	-0.00001	0.00000
1	0			
